epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,54.1704,3.19295,9.23386,0.00204,0.39771,0.29286,0.28505,0.07522,2.57218,1.80574,0.00209,0.00992593,0.00330864,0.00992593,0.00330864,0.00992593,0.00330864,0.00992593,0.00330864
2,90.2554,3.42659,2.42541,0.00203,0.04808,0.07143,0.02804,0.00788,3.34217,2.99828,0.00348,0.0199128,0.00663759,0.0199128,0.00663759,0.0199128,0.00663759,0.0199128,0.00663759
3,124.236,3.70888,3.12177,0.00243,0.05882,0.00714,0.02964,0.00889,3.35012,3.57824,0.00351,0.0298864,0.00996214,0.0298864,0.00996214,0.0298864,0.00996214,0.0298864,0.00996214
4,157.396,3.76219,2.98252,0.00266,0.05155,0.03571,0.03138,0.00737,3.20244,3.43151,0.00317,0.0299406,0.0099802,0.0299406,0.0099802,0.0299406,0.0099802,0.0299406,0.0099802
5,190.644,3.79987,2.85131,0.00271,0,0,0,0,0.93701,1.30388,0.00157,0.0299208,0.0099736,0.0299208,0.0099736,0.0299208,0.0099736,0.0299208,0.0099736
6,223.959,3.86593,3.14144,0.0029,0.00023,0.00714,0.00012,1e-05,0.99165,2.09797,0.00176,0.029901,0.009967,0.029901,0.009967,0.029901,0.009967,0.029901,0.009967
7,257.272,3.92651,3.13933,0.00269,0,0,0,0,1.43188,1.62377,0.00198,0.0298812,0.0099604,0.0298812,0.0099604,0.0298812,0.0099604,0.0298812,0.0099604
8,290.47,3.881,3.12078,0.00249,0.19133,0.13571,0.07468,0.01508,3.12304,2.2529,0.00282,0.0298614,0.0099538,0.0298614,0.0099538,0.0298614,0.0099538,0.0298614,0.0099538
9,323.823,3.85711,3.1231,0.00263,0.15889,0.10714,0.03912,0.01001,3.28254,2.60161,0.00278,0.0298416,0.0099472,0.0298416,0.0099472,0.0298416,0.0099472,0.0298416,0.0099472
10,357.136,3.95791,3.0504,0.00276,0.00228,0.00714,0.00115,0.00046,0.93429,0.98372,0.00133,0.0298218,0.0099406,0.0298218,0.0099406,0.0298218,0.0099406,0.0298218,0.0099406
11,390.477,3.92977,3.125,0.00255,0.13483,0.09286,0.03782,0.0094,3.39628,2.43254,0.00297,0.029802,0.009934,0.029802,0.009934,0.029802,0.009934,0.029802,0.009934
12,423.687,3.80721,2.95178,0.00254,0.02077,0.09286,0.01514,0.00355,3.45406,3.44868,0.00322,0.0297822,0.0099274,0.0297822,0.0099274,0.0297822,0.0099274,0.0297822,0.0099274
13,457.021,3.72476,2.67999,0.00234,0.13982,0.12143,0.06077,0.01517,3.21043,2.2975,0.00288,0.0297624,0.0099208,0.0297624,0.0099208,0.0297624,0.0099208,0.0297624,0.0099208
14,490.348,3.68548,2.81267,0.00243,0.07754,0.20714,0.06631,0.01643,3.16124,2.71473,0.0027,0.0297426,0.0099142,0.0297426,0.0099142,0.0297426,0.0099142,0.0297426,0.0099142
15,523.697,3.79161,2.54043,0.00246,0.20938,0.12857,0.06521,0.01496,3.00544,2.72837,0.00268,0.0297228,0.0099076,0.0297228,0.0099076,0.0297228,0.0099076,0.0297228,0.0099076
16,556.941,3.61365,2.68659,0.00226,0.19777,0.18571,0.08835,0.021,2.95487,2.28237,0.00243,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901
17,590.277,3.78089,2.63758,0.00232,0.07093,0.06429,0.02493,0.00596,3.40195,2.55559,0.00288,0.0296832,0.0098944,0.0296832,0.0098944,0.0296832,0.0098944,0.0296832,0.0098944
18,623.651,3.75546,2.72791,0.00228,0.14611,0.16429,0.06126,0.01072,3.15143,2.05143,0.00266,0.0296634,0.0098878,0.0296634,0.0098878,0.0296634,0.0098878,0.0296634,0.0098878
19,657.009,3.52755,2.54322,0.00207,0.14409,0.15,0.06615,0.01361,3.13244,2.03885,0.00247,0.0296436,0.0098812,0.0296436,0.0098812,0.0296436,0.0098812,0.0296436,0.0098812
20,690.181,3.72309,2.72777,0.00233,0.08219,0.04286,0.04747,0.01498,2.28466,2.61872,0.00234,0.0296238,0.0098746,0.0296238,0.0098746,0.0296238,0.0098746,0.0296238,0.0098746
21,723.55,3.65169,2.46671,0.00215,0.20484,0.32143,0.13274,0.03098,2.80248,1.75047,0.00223,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868
22,756.902,3.55343,2.47204,0.00209,0.32675,0.26429,0.15881,0.04105,2.79594,2.29082,0.00224,0.0295842,0.0098614,0.0295842,0.0098614,0.0295842,0.0098614,0.0295842,0.0098614
23,790.235,3.45255,2.32879,0.002,0.2158,0.26429,0.12494,0.03205,2.79848,1.74585,0.00233,0.0295644,0.0098548,0.0295644,0.0098548,0.0295644,0.0098548,0.0295644,0.0098548
24,823.41,3.51545,2.43415,0.00212,0.1525,0.15,0.06022,0.01686,2.9613,2.48475,0.0025,0.0295446,0.0098482,0.0295446,0.0098482,0.0295446,0.0098482,0.0295446,0.0098482
25,856.778,3.54637,2.27278,0.00203,0.33561,0.29226,0.16104,0.03771,2.99688,1.78903,0.00246,0.0295248,0.0098416,0.0295248,0.0098416,0.0295248,0.0098416,0.0295248,0.0098416
26,890.107,3.45899,2.14875,0.00198,0.29554,0.18571,0.15701,0.03849,2.86137,2.39381,0.00234,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835
27,923.496,3.40185,2.13882,0.00199,0.31096,0.34286,0.2125,0.06144,2.71585,1.75756,0.00224,0.0294852,0.0098284,0.0294852,0.0098284,0.0294852,0.0098284,0.0294852,0.0098284
28,956.729,3.3703,2.07175,0.00189,0.36725,0.3,0.18351,0.04504,2.67574,1.81701,0.00212,0.0294654,0.0098218,0.0294654,0.0098218,0.0294654,0.0098218,0.0294654,0.0098218
29,990.061,3.41945,2.22145,0.00199,0.06989,0.09286,0.05064,0.01125,2.82871,3.38636,0.00265,0.0294456,0.0098152,0.0294456,0.0098152,0.0294456,0.0098152,0.0294456,0.0098152
30,1023.4,3.37166,2.09681,0.00207,0.36675,0.31855,0.22727,0.0489,2.78927,1.74184,0.00227,0.0294258,0.0098086,0.0294258,0.0098086,0.0294258,0.0098086,0.0294258,0.0098086
31,1056.79,3.37813,2.12912,0.00194,0.32913,0.39286,0.21221,0.05936,2.6549,1.674,0.00224,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
