epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
55,128338,1.25862,2.03115,0.29698,0,0,0,0,1.5507,2.25026,0.33534,0.0089308,0.0089308,0.0089308
56,130659,1.11557,1.7808,0.27735,0,0,0,0,1.50933,2.24672,0.32299,0.008911,0.008911,0.008911
57,132977,1.13582,1.80791,0.27098,0,0,0,0,1.30512,1.92853,0.2906,0.0088912,0.0088912,0.0088912
58,135294,1.20161,1.94049,0.29204,0,0,0,0,1.48683,2.17939,0.3193,0.0088714,0.0088714,0.0088714
59,137612,1.13196,1.78278,0.26888,0,0,0,0,1.53896,2.20095,0.33041,0.0088516,0.0088516,0.0088516
60,139930,1.23479,1.92605,0.27926,0,0,0,0,1.45338,2.24234,0.31638,0.0088318,0.0088318,0.0088318
61,142247,1.28253,1.98171,0.30196,0,0,0,0,1.51045,2.20435,0.32076,0.008812,0.008812,0.008812
62,144561,1.18315,1.90365,0.28105,0,0,0,0,1.44243,2.25695,0.31615,0.0087922,0.0087922,0.0087922
63,146873,1.14442,1.80152,0.25916,0,0,0,0,1.24791,2.05846,0.2754,0.0087724,0.0087724,0.0087724
64,149192,1.23735,1.93148,0.28521,0,0,0,0,1.45452,2.17442,0.31715,0.0087526,0.0087526,0.0087526
65,151507,1.21272,1.91171,0.29398,0,0,0,0,1.15851,1.65645,0.25899,0.0087328,0.0087328,0.0087328
66,153823,1.17607,1.78705,0.26281,0,0,0,0,1.29994,2.05888,0.29668,0.008713,0.008713,0.008713
67,156136,1.26232,1.96395,0.28454,0,0,0,0,1.54245,2.2179,0.33221,0.0086932,0.0086932,0.0086932
68,158450,1.08401,1.67065,0.25836,0,0,0,0,1.42564,2.21078,0.3139,0.0086734,0.0086734,0.0086734
69,160768,0.91182,6.897,0.21049,0,0,0,0,1.4727,2.253,0.32664,0.0086536,0.0086536,0.0086536
70,163109,1.1755,1.8115,0.29799,0,0,0,0,1.46272,2.06352,0.30537,0.0086338,0.0086338,0.0086338
71,165427,1.06849,1.72416,0.25153,0,0,0,0,1.41716,2.13689,0.30833,0.008614,0.008614,0.008614
72,167740,1.04303,1.79584,0.24983,0,0,0,0,1.26515,1.90961,0.27695,0.0085942,0.0085942,0.0085942
73,170053,1.23072,1.94502,0.29742,0,0,0,0,1.41441,2.00593,0.30977,0.0085744,0.0085744,0.0085744
74,172367,0.97565,1.58341,0.2314,0,0,0,0,1.44693,2.07636,0.3054,0.0085546,0.0085546,0.0085546
75,174678,1.28134,2.02862,0.29452,0,0,0,0,1.40353,2.12799,0.30428,0.0085348,0.0085348,0.0085348
76,176992,1.15483,1.79941,0.26808,0,0,0,0,1.35621,2.00948,0.29123,0.008515,0.008515,0.008515
77,179309,1.18752,1.8871,0.279,0,0,0,0,1.55185,2.24,0.33005,0.0084952,0.0084952,0.0084952
78,181624,1.20948,1.86005,0.27663,0,0,0,0,1.54175,2.18266,0.32911,0.0084754,0.0084754,0.0084754
79,183938,1.36751,2.13426,0.32329,0,0,0,0,1.54813,2.28838,0.33396,0.0084556,0.0084556,0.0084556
80,186254,1.33719,2.15802,0.31475,0,0,0,0,1.46213,2.16944,0.31483,0.0084358,0.0084358,0.0084358
81,188574,1.31375,2.07654,0.31217,0,0,0,0,1.50073,2.13674,0.31881,0.008416,0.008416,0.008416
82,190941,1.14339,1.81589,0.28252,0,0,0,0,1.4768,2.08522,0.32138,0.0083962,0.0083962,0.0083962
83,193278,1.01443,1.64095,0.23476,0,0,0,0,1.42063,2.14443,0.3079,0.0083764,0.0083764,0.0083764
84,195664,1.24377,1.93264,0.30642,0,0,0,0,1.5358,2.22047,0.33229,0.0083566,0.0083566,0.0083566
85,198145,1.09536,1.73488,0.26142,0,0,0,0,1.49925,2.19091,0.32505,0.0083368,0.0083368,0.0083368
86,200597,1.27674,2.01905,0.30132,0,0,0,0,1.52651,2.22854,0.32754,0.008317,0.008317,0.008317
