video_name,timestamp,annotator,reason
A03_009ca9a9-dbda-3d64-a6c6-e414f9834742,2026-01-09T16:06:55.778079,Alba,Bounding boxes need review
A03_012146d8-f647-3393-b53f-8efc4bcf5c07,2026-01-09T16:07:34.929152,Alba,Bounding boxes need review
