epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,369.831,2.95665,1.68345,0.00165,0.29495,0.39286,0.2414,0.0723,3.06862,1.84361,0.00257,0.0294258,0.0098086,0.0294258,0.0098086,0.0294258,0.0098086,0.0294258,0.0098086
31,381.461,2.94797,1.6957,0.00161,0.40098,0.44643,0.32177,0.08044,3.01055,1.92499,0.00242,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
32,393.045,2.98889,1.6773,0.00163,0.27957,0.23214,0.21433,0.07234,3.28692,4.47648,0.0027,0.0293862,0.0097954,0.0293862,0.0097954,0.0293862,0.0097954,0.0293862,0.0097954
33,404.675,2.85305,1.6282,0.00157,0.4863,0.34375,0.32111,0.09382,3.03306,2.15528,0.00245,0.0293664,0.0097888,0.0293664,0.0097888,0.0293664,0.0097888,0.0293664,0.0097888
34,416.39,2.91037,1.67578,0.00164,0.44732,0.33604,0.30318,0.09156,3.02072,2.42301,0.00245,0.0293466,0.0097822,0.0293466,0.0097822,0.0293466,0.0097822,0.0293466,0.0097822
35,428.006,3.0414,1.66475,0.00172,0.43689,0.39832,0.32177,0.07311,3.105,1.77244,0.00252,0.0293268,0.0097756,0.0293268,0.0097756,0.0293268,0.0097756,0.0293268,0.0097756
36,439.628,2.99232,1.5506,0.00166,0.39665,0.34821,0.26964,0.06384,3.27831,2.12864,0.00269,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769
37,451.257,2.90123,1.63155,0.00153,0.52275,0.43304,0.39566,0.11548,2.99056,1.79846,0.00244,0.0292872,0.0097624,0.0292872,0.0097624,0.0292872,0.0097624,0.0292872,0.0097624
38,463.021,3.07335,1.6224,0.00174,0.52571,0.37946,0.3586,0.0924,2.98627,1.9558,0.00242,0.0292674,0.0097558,0.0292674,0.0097558,0.0292674,0.0097558,0.0292674,0.0097558
39,474.633,2.90466,1.58508,0.00162,0.50083,0.46429,0.3851,0.10052,2.83691,1.99204,0.00232,0.0292476,0.0097492,0.0292476,0.0097492,0.0292476,0.0097492,0.0292476,0.0097492
40,486.245,2.79046,1.60929,0.00153,0.45145,0.35268,0.31617,0.08659,2.95977,2.03866,0.00255,0.0292278,0.0097426,0.0292278,0.0097426,0.0292278,0.0097426,0.0292278,0.0097426
41,497.971,2.83398,1.52527,0.00155,0.47892,0.39286,0.3254,0.07709,3.01329,1.86781,0.00246,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
42,509.601,2.83137,1.54052,0.00154,0.57603,0.40032,0.37151,0.09808,3.01299,2.01619,0.00251,0.0291882,0.0097294,0.0291882,0.0097294,0.0291882,0.0097294,0.0291882,0.0097294
43,521.27,2.75245,1.54235,0.00146,0.47925,0.39286,0.35723,0.11463,2.94392,2.36361,0.00236,0.0291684,0.0097228,0.0291684,0.0097228,0.0291684,0.0097228,0.0291684,0.0097228
44,532.872,2.80531,1.67198,0.00145,0.47793,0.43729,0.33907,0.1089,2.76067,2.25825,0.00219,0.0291486,0.0097162,0.0291486,0.0097162,0.0291486,0.0097162,0.0291486,0.0097162
45,544.576,2.83976,1.58328,0.00145,0.54968,0.41518,0.37134,0.09619,2.828,1.93172,0.00222,0.0291288,0.0097096,0.0291288,0.0097096,0.0291288,0.0097096,0.0291288,0.0097096
46,556.22,2.85589,1.61576,0.00155,0.45096,0.40179,0.37354,0.10567,2.78598,1.84661,0.00218,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
47,567.831,2.74669,1.56903,0.00147,0.37513,0.36161,0.33081,0.10131,2.90059,2.59756,0.00228,0.0290892,0.0096964,0.0290892,0.0096964,0.0290892,0.0096964,0.0290892,0.0096964
48,579.455,2.88349,1.56351,0.00152,0.40515,0.41353,0.28034,0.07722,3.01251,2.0984,0.00238,0.0290694,0.0096898,0.0290694,0.0096898,0.0290694,0.0096898,0.0290694,0.0096898
49,591.078,2.72406,1.52627,0.00142,0.45701,0.42411,0.36104,0.10993,2.71848,1.9249,0.00221,0.0290496,0.0096832,0.0290496,0.0096832,0.0290496,0.0096832,0.0290496,0.0096832
50,602.811,2.8309,1.48184,0.0015,0.45424,0.3307,0.30574,0.0857,2.97095,2.25025,0.00239,0.0290298,0.0096766,0.0290298,0.0096766,0.0290298,0.0096766,0.0290298,0.0096766
