epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,596.611,3.3459,55.9607,0.00261,0,0,0,0,2.50757,45.3342,0.00313,0.00330864,0.00330864,0.00330864
2,1176.56,3.62547,14.4235,0.00249,0.00126,0.39286,0.12317,0.02462,3.02861,7.72225,0.0026,0.00662882,0.00662882,0.00662882
3,1754.07,3.72447,5.0438,0.0026,0.07537,0.10714,0.04604,0.0128,3.56552,3.99666,0.00366,0.00993581,0.00993581,0.00993581
4,2332.23,3.846,3.55161,0.00299,0.03959,0.02857,0.00398,0.00083,1.86532,4.19569,0.00222,0.0099406,0.0099406,0.0099406
5,2913.04,3.85066,3.26861,0.00305,0.03145,0.07143,0.02039,0.00571,3.55383,3.69186,0.00367,0.0099208,0.0099208,0.0099208
6,3491.1,3.87132,2.84107,0.00272,0,0,0,0,1.09438,1.54018,0.00184,0.009901,0.009901,0.009901
7,4070.45,3.89366,2.94512,0.00254,0.02878,0.01429,0.0017,0.00023,3.47561,4.63979,0.00392,0.0098812,0.0098812,0.0098812
8,4650.55,3.83393,2.61747,0.00254,0.07998,0.14286,0.03518,0.00615,3.29555,3.79599,0.00289,0.0098614,0.0098614,0.0098614
9,5229.57,3.79308,2.44717,0.00242,0.27082,0.25204,0.14523,0.02397,3.12894,2.10915,0.00256,0.0098416,0.0098416,0.0098416
10,5809.57,3.81461,2.62282,0.00257,0.21109,0.23318,0.08199,0.01549,3.08162,3.17418,0.00257,0.0098218,0.0098218,0.0098218
11,6389.88,3.83332,2.6466,0.00245,0,0,0,0,2.54006,2.9659,0.00399,0.009802,0.009802,0.009802
12,6970.4,3.8532,2.62311,0.00242,0.17735,0.17857,0.06912,0.01639,3.32489,2.25691,0.00289,0.0097822,0.0097822,0.0097822
13,7548.96,3.6807,2.43019,0.00232,0.25263,0.22143,0.11758,0.02698,2.89681,1.93675,0.00234,0.0097624,0.0097624,0.0097624
14,8130.08,3.61627,2.44838,0.00212,0.23713,0.27857,0.13288,0.02708,2.92706,1.98052,0.00231,0.0097426,0.0097426,0.0097426
15,8710.21,3.63356,2.37787,0.00214,0.08072,0.08571,0.03302,0.00841,3.4426,2.15783,0.00295,0.0097228,0.0097228,0.0097228
16,9290.31,3.75926,2.60667,0.00239,0.02128,0.00714,0.01083,0.00325,2.51117,2.90839,0.00284,0.009703,0.009703,0.009703
17,9871.18,3.75573,2.43634,0.00231,0.20527,0.20714,0.10103,0.02703,3.0592,2.0216,0.0026,0.0096832,0.0096832,0.0096832
18,10452.1,3.82394,2.27577,0.00238,0.04496,0.20714,0.03801,0.00851,3.17594,2.63072,0.00251,0.0096634,0.0096634,0.0096634
19,11032.7,3.69122,2.28764,0.0022,0.22943,0.2,0.09476,0.02182,3.00358,2.37491,0.00248,0.0096436,0.0096436,0.0096436
20,11613.6,3.44055,2.14671,0.00207,0.26714,0.35714,0.17656,0.04387,2.96859,1.96698,0.00247,0.0096238,0.0096238,0.0096238
