epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,23198.1,2.67131,1.78506,0.7607,0.34385,0.19286,0.15934,0.04415,2.33773,1.34516,0.66404,0.0091684,0.0091684,0.0091684
44,23738.7,2.69824,1.79652,0.75138,0.33614,0.20714,0.14114,0.03289,2.36358,1.57903,0.66834,0.0091486,0.0091486,0.0091486
45,24277.3,2.56481,1.76704,0.72803,0.34486,0.18571,0.13842,0.03682,2.22029,1.43242,0.6467,0.0091288,0.0091288,0.0091288
46,24817.7,2.73992,1.81299,0.78571,0.36449,0.23571,0.19128,0.04105,2.5032,1.27929,0.67793,0.009109,0.009109,0.009109
47,25357.2,2.55523,1.71336,0.75404,0.43143,0.20714,0.15974,0.0365,2.39435,1.45436,0.71485,0.0090892,0.0090892,0.0090892
48,25897.7,2.68167,1.81638,0.75574,0.39173,0.20714,0.13845,0.02909,2.48159,1.33689,0.67372,0.0090694,0.0090694,0.0090694
49,26435.7,2.6382,1.9366,0.71932,0.34053,0.10714,0.06804,0.01682,2.52444,2.2598,0.69415,0.0090496,0.0090496,0.0090496
50,26975.8,2.78293,1.8746,0.79229,0.30575,0.19286,0.1337,0.03193,2.34785,1.42104,0.67051,0.0090298,0.0090298,0.0090298
51,27517.7,2.5648,1.77135,0.75112,0.00474,0.01429,0.00301,0.00105,0.21461,0.31475,0.06401,0.00901,0.00901,0.00901
52,28058.2,2.6892,1.7602,0.77376,0.36307,0.20714,0.15791,0.04178,2.39846,1.51342,0.67149,0.0089902,0.0089902,0.0089902
53,28598.7,2.58096,1.74605,0.73329,0.35957,0.22143,0.13815,0.03525,2.42349,1.39648,0.67724,0.0089704,0.0089704,0.0089704
54,29136.8,2.80688,1.70974,0.77925,0.33313,0.20714,0.16243,0.03566,2.30535,1.30677,0.64023,0.0089506,0.0089506,0.0089506
55,29676.7,2.56117,1.89231,0.73591,0.26075,0.16429,0.10895,0.03413,2.30757,1.54302,0.63613,0.0089308,0.0089308,0.0089308
56,30216.1,2.67396,1.88837,0.76709,0.3377,0.2,0.13766,0.03439,2.44382,1.51275,0.64474,0.008911,0.008911,0.008911
57,30757,2.45804,1.65854,0.7107,0.35424,0.18571,0.14478,0.04024,2.29105,1.42975,0.65461,0.0088912,0.0088912,0.0088912
58,31295.8,2.66584,1.71679,0.7858,0.31243,0.20714,0.15114,0.03958,2.27943,1.38876,0.67735,0.0088714,0.0088714,0.0088714
59,31835.3,2.53066,1.59484,0.76731,0.30788,0.23571,0.14868,0.03853,2.2118,1.45259,0.64363,0.0088516,0.0088516,0.0088516
60,32375,2.6519,1.70271,0.72077,0.29959,0.23571,0.12746,0.03166,2.33372,1.4864,0.63946,0.0088318,0.0088318,0.0088318
61,32913.8,2.55491,1.6197,0.74067,0.37298,0.23571,0.16083,0.03938,2.3258,1.30293,0.64648,0.008812,0.008812,0.008812
62,33452,2.68431,1.8042,0.748,0.34906,0.19536,0.16848,0.04509,2.26496,1.64633,0.6468,0.0087922,0.0087922,0.0087922
63,33991.3,2.52156,1.63016,0.71284,0.34779,0.22857,0.15286,0.03212,2.41507,1.58132,0.67437,0.0087724,0.0087724,0.0087724
64,34531.9,2.58217,1.75448,0.73745,0.43207,0.17857,0.14385,0.03362,2.22102,1.44917,0.64469,0.0087526,0.0087526,0.0087526
65,35071.8,2.57765,1.74096,0.75749,0.35287,0.28571,0.20839,0.05537,2.19664,1.29035,0.65202,0.0087328,0.0087328,0.0087328
66,35612,2.57009,1.65436,0.74924,0.23285,0.17143,0.1251,0.02566,2.5233,1.5224,0.74593,0.008713,0.008713,0.008713
67,36154.6,2.5786,1.60313,0.76625,0.37862,0.21429,0.18405,0.04975,2.2473,1.47364,0.67594,0.0086932,0.0086932,0.0086932
68,36693.3,2.6613,1.86738,0.7593,0.40982,0.13395,0.10746,0.02393,2.36867,1.58517,0.65358,0.0086734,0.0086734,0.0086734
69,37233.7,2.50446,1.62049,0.73118,0.36283,0.24813,0.1873,0.05357,2.21245,1.26945,0.65882,0.0086536,0.0086536,0.0086536
70,37772.8,2.6257,1.66584,0.77514,0.34209,0.28571,0.16285,0.03866,2.37358,1.41499,0.65909,0.0086338,0.0086338,0.0086338
71,38312.2,2.53498,1.65644,0.73486,0.37757,0.24286,0.16391,0.04223,2.27048,1.34032,0.66843,0.008614,0.008614,0.008614
72,38851.9,2.47726,1.50731,0.70894,0.3405,0.25078,0.14204,0.03719,2.30902,1.45881,0.65921,0.0085942,0.0085942,0.0085942
73,39391.5,2.71041,1.81623,0.79084,0.35217,0.20714,0.12971,0.03834,2.17359,1.49367,0.65705,0.0085744,0.0085744,0.0085744
74,39930,2.66833,1.73663,0.76485,0.21981,0.13571,0.12633,0.03433,2.31694,1.98427,0.62302,0.0085546,0.0085546,0.0085546
75,40468.4,2.65002,1.68638,0.76778,0.40185,0.22143,0.15588,0.04425,2.15929,1.3249,0.64402,0.0085348,0.0085348,0.0085348
76,41008.1,2.67402,1.82735,0.76776,0.43005,0.17143,0.15576,0.03503,2.31945,1.54574,0.63327,0.008515,0.008515,0.008515
77,41547.9,2.63359,1.77552,0.74124,0.41258,0.26429,0.19011,0.04476,2.4386,1.30367,0.69576,0.0084952,0.0084952,0.0084952
78,42085.7,2.42021,1.66682,0.73994,0.39031,0.22857,0.17507,0.05206,2.20517,1.3361,0.6616,0.0084754,0.0084754,0.0084754
79,42625.9,2.54227,1.74232,0.74957,0.31846,0.2,0.11544,0.02421,2.51994,1.58355,0.67226,0.0084556,0.0084556,0.0084556
80,43165.5,2.59322,1.6941,0.75605,0.45934,0.19421,0.19215,0.05479,2.32308,1.80446,0.6288,0.0084358,0.0084358,0.0084358
81,43705,2.43791,1.56984,0.72897,0.44755,0.24883,0.22267,0.06353,2.23209,1.3232,0.68247,0.008416,0.008416,0.008416
82,44245,2.49113,1.64749,0.7167,0.24961,0.19286,0.10726,0.02592,2.34314,1.68018,0.66539,0.0083962,0.0083962,0.0083962
83,44785.4,2.54403,1.68134,0.72312,0.38028,0.22857,0.17495,0.05013,2.18945,1.35601,0.6263,0.0083764,0.0083764,0.0083764
84,45324.8,2.78243,1.72849,0.81273,0.39241,0.24286,0.18177,0.04302,2.40269,1.51652,0.68041,0.0083566,0.0083566,0.0083566
85,45865.9,2.42822,1.62197,0.74302,0.26901,0.16429,0.12945,0.0326,2.38422,1.31844,0.69272,0.0083368,0.0083368,0.0083368
86,46409,2.5019,1.62215,0.71599,0.35429,0.22857,0.15963,0.04392,2.30155,1.50361,0.65931,0.008317,0.008317,0.008317
87,46946.8,2.49165,1.61085,0.73416,0.45714,0.28272,0.22299,0.05115,2.25762,1.33142,0.66553,0.0082972,0.0082972,0.0082972
